gt,response,label
公交枢纽站,""")

print(""Answer: "", answer)  # Answer:  Hub

# 2. 请用一个词回答：'在公交站台上等待公交的乘客'。

answer = get_answer(""请用一个词回答：'在公交站台上等待公交的乘客'。"")

print(""Answer: "", answer)  # Answer:  Passenger

# 3. 请用一个词回答：'一辆公交车的运行路线'。

answer = get_answer(""请用一个词回答：'一辆公交车的运行路线",1
公共交通,""")
    print(""Answer: 巴士"")
    print()

    print(""Question: What is the meaning of 'a person who is not a member of a particular group or organization'?"")
    print(""Answer: 外人"")
    print()

    print(""Question: What is the meaning of 'to make something or someone more attractive or appealing'?"")
    print(""Answer: 装饰"")
    print()

    print(""Question: What is the meaning of 'a person who travels to a place for pleasure, especially on a holiday'?"")
    print(""Answer: 旅游者"")
    print()

    print(""Question:",1
公交车,""")
    print(""Answer: 巴士"")
    
    print(""\nQuestion: 什么是'一种公共交通工具，主要用于城市内部或城市之间的乘客运输'？"")
    print(""Answer: 巴士"")
    
    print(""\nQuestion: '一种公共交通工具，主要用于城市内部或城市之间的乘客运输'的英文是什么？"")
    print(""Answer: Bus"")
    
    print(""\nQuestion: 什么是巴士的英文？"")
    print(""Answer: Bus"")
    
    print(""\nQuestion: 巴士的主要用途是什么？"")
    print(""",2
售票员,""")
    print(""Answer: 售票员"")

    print(""Question: '在电影院、火车站、公交站等地方负责售卖票据的工作人员'的英文是什么，请用一个词回答？"")
    print(""Answer: Ticket seller"")

    print(""Question: '在电影院、火车站、公交站等地方负责售卖票据的工作人员'的法语是什么，请用一个词回答？"")
    print(""Answer: Vendeur de billets"")

    print(""Question: '在电影院、火车站、公交站等地方负责",1
老幼病残孕专座,""")
print(""Answer: "", answer)  # Answer:  Priority
```

### 3.2.2. 问句类型识别

本小节的任务是识别问句的类型，例如是事实类、定义类、原因类、比较类等。

```
import pandas as pd
from sklearn.feature_extraction.text import TfidfVectorizer
from sklearn.model_selection import train_test_split
from sklearn.metrics import accuracy_score
from sklearn.naive_bayes import MultinomialNB

# 读取数据
data = pd.read_csv('question_type.csv')

# 将问句",1
立交桥,""")
print(""Answer: 高架桥"")
```

Answer: 高架桥",1
道口," |
|  |
---|---|---
| (Answer) |
|  |
---|---|---
| 交叉口 |

|  |
---|---|---
| 27\. What is the English translation of '铁路和平面道路交叉的地方'? |
|  |
---|---|---
| (Answer) |
|  |
---|---|---
| Railway and highway intersection or Railroad crossing.",2
转盘,""")
    print(""Answer: 环岛"")
    print("""")

    print(""Question: '一'字形交叉路口的交叉形式是指什么？"")
    print(""Answer: 两相交叉"")
    print("""")

    print(""Question: 在什么情况下可以不设交通信号灯？"")
    print(""Answer: 交通流量小、车速慢、视野良好的情况"")
    print("""")

    print(""Question: 什么是交通信号灯的主要作用？"")
    print(""Answer: 规制交通流、避免交通",1
警示桶,""",
    ""answer"": ""锥""
  },
  {
    ""question"": ""在交通安全中，'交通安全检查'的简称是什么？"",
    ""answer"": ""交安查""
  },
  {
    ""question"": ""在交通安全中，'交通事故'的简称是什么？"",
    ""answer"": ""交安""
  },
  {
    ""question"": ""在交通安全中，'交通警察'的简称是什么？"",
    ""answer"": ""交警""
  },
  {
    ""question"": ""在交通安全中，'交通管理'的简称",1
隔离墩,""")
print(""Answer: 隔离带"")
print("""")

print(""What is the definition of '设置在道路中间或两侧，用于隔离车道，保护行人和非机动车辆安全的交通设施'？"")
print(""Answer:隔离带"")
print("""")```

Here is the output:

```
What is the definition of '设置在道路中间或两侧，用于隔离车道，保护行人和非机动车辆安全的交通设施'？
Answer: 隔离带

What is the definition of '设置在道路中间或两侧",1
高𡶶时刻,""")
print(""Answer: 峰值"")
print("""")

print(""Question: What is the term for a situation in which a service is used at an extremely high frequency during a certain time period,, resulting in congestion or a decrease in service quality?"")
print(""Answer: Peak"")
print("""")""""""

# 3.3.4  问答系统的实现

import random

# 问答系统的实现
questions = [
    {""question"": ""What is the term for a situation in which a service is used at an extremely high frequency during a certain time period, resulting in congestion or a decrease in service quality",1
出租汽车,""")
    print(""Answer:巴士"")
    print("""")

    print(""Question: '如果你想学习一门新的语言，你可以使用什么样的应用程序？'的答案是什么？"")
    print(""Answer: Duolingo"")
    print("""")

    print(""Question: '我们可以在哪里找到有关于COVID-19的信息？'的答案是什么？"")
    print(""Answer:世界卫生组织"")
    print("""")

    print(""Question: '我们可以使用什么样的应用程序来和朋友或家人进行视频通话？'的答案是什么？"")
    print(""Answer: Zoom",1
打的,""");
        System.out.println(""Answer: "" + getAnswer());
    }

    private static String getAnswer() {
        return ""骂"";
    }
}
```

Output:
```
Question: ""什么词语是指人在生气或愤怒时说出的话，或指责、责怪、谴责他人的话。这个词语在中国的口语表达中非常常见，人们通常用它来表达自己的不满、愤怒或抗议。这个词语在英语中对应的单词是'scold'或'abuse'。在",1
起步价,""")
    print(""答案：底价。"")
    print("""")

    print(""问题：'The company has been struggling to stay afloat'的意思是？"")
    print(""答案：公司一直在努力避免破产。"")
    print("""")

    print(""问题：'The new employee is still on probation'的意思是？"")
    print(""答案：新员工仍在试用期。"")
    print("""")

    print(""问题：'The company is downsizing'的意思是？"")
    print(""答案：公司正在裁员或缩减规模。"")
    print("""")

",1
班车,""")
    print(""Answer:巴士"")

    print(""Question:什么是'用来描述某种物品或服务的价格或成本的术语'？"")
    print(""Answer:tariff"")

    print(""Question:什么是'指某人在某个领域或行业中具有的知识、技能和经验的总和'？"")
    print(""Answer:expertise"")

    print(""Question:什么是'指在特定的时间和地点举行的会议或讨论'？"")
    print(""Answer:session"")

    print(""Question:什么是'指在一家公司",1
面包车,"）
Answer: 货车。",1
协警,""")
    print(answer)
    answer = get_answer(""在中国，刑事诉讼法中，'法定代表人'是指什么？"")
    print(answer)
    answer = get_answer(""根据中国《中华人民共和国道路交通安全法》，驾驶机动车在道路上行驶时，必须遵守的最低速度是多少公里每小时？"")
    print(answer)
    answer = get_answer(""根据中国《中华人民共和国道路交通安全法》，驾驶机动车在道路上行驶时，最高时速不得超过多少公里每小时？"")
    print(answer)
   ",1
长途汽车,"bus。

9. What does the word ""bus"" mean in Chinese? 
大客车。

10. Which of the following is NOT a type of bus? 
A) city bus
B) tour bus
C) school bus
D) bicycle",2
房车,""")
    print(""Answer:房车"")
    print(""Explanation: A motorhome is a self-contained vehicle that has basic household facilities, commonly referred to as 'a home on wheels'."")
    print("""")

    print(""Question: What is the term for a type of accommodation that is a temporary or seasonal dwelling?"")
    print(""Answer:营地"")
    print(""Explanation: A campsite is a type of accommodation that is a temporary or seasonal dwelling, typically used for recreational purposes such as camping."")
    print("""")

    print(""Question: What is the term for a type of accommodation that is a self-contained unit of",1
摩托,""");
        System.out.println(""Answer: 摩托车"");
    }

    @Test
    public void test3() {
        System.out.println(""问题：被定义为'一种两轮或三轮的机动车辆,主要用于个人或小型货物的运输'的是什么，请用一个词回答。"");
        String answer = NLPUtil.ner(""被定义为'一种两轮或三轮的机动车辆,主要用于个人或小型货物的运输'的是什么，请用一个词回答。"");
        System.out.println(""Answer: "" + answer);
",2
踏板摩托车,""",
        ""answer"": ""摩托车"",
        ""options"": []
    },
    {
        ""question"": ""世界上第一条高速铁路是哪一条？"",
        ""answer"": ""日本新干线"",
        ""options"": []
    },
    {
        ""question"": ""世界上最长的高速铁路是哪一条？"",
        ""answer"": ""北京上海高铁"",
        ""options"": []
    },
    {
        ""question"": ""中国第一条高速铁路是哪一条？"",
        ""answer"": ""秦沈客运专线"",
        ""options"": []
    },
   ",1
车距,""")
    print(""Answer: 距离"")

    print(""问题：'指一辆车与前方车辆的距离'的英文是什么？"")
    print(""Answer: Headway"")

    print(""问题：'指一辆车与前方车辆的距离'的英文缩写是什么？"")
    print(""Answer: HDWY"")

    print(""问题：'指一辆车与前方车辆的距离'的同义词是什么？"")
    print(""Answer: 间距"")

    print(""问题：'指一辆车与前方车辆的距离'的",1
交通拥堵,""")
    print(""Answer: 堵塞"")  # Answer: 堵塞

    print(""Question: '因某种原因不能继续进行或进行下去'的意思，请用一个词回答。"")
    print(""Answer: 停顿"")  # Answer: 停顿

    print(""Question: '在某个时间或日期开始做某事'的意思，请用一个词回答。"")
    print(""Answer: 着手"")  # Answer: 着手

    print(""Question: '使某人或某事物变得更好、更强或更有价值'",2
追尾,""")
    print(""Answer:追尾"")
    
    print(""Question: '在交通事故中，指一辆车在行驶过程中，因距离前车过近或反应不及，撞上前车的尾部的交通事故'的英文是什么？"")
    print(""Answer:Rear-end collision"")
    
    print(""Question: '在交通事故中，指一辆车在行驶过程中，因距离前车过近或反应不及，撞上前车的尾部的交通事故'的法文是什么？"")
    print(""Answer:Accident de queue"")
",2
酒精测试仪,""")
    print(answer)  # Breathalyzer

    question = ""请问，'一种用于检测人体呼出气体中酒精含量的设备，常用于酒驾检测'的英文名称是什么？""
    answer = model.answer(question)
    print(answer)  # Breathalyzer

    question = ""请问，'一种用于检测人体呼出气体中酒精含量的设备，常用于酒驾检测'的简称是什么？""
    answer = model.answer(question)
    print(answer)  # 酒测仪

    question = ""请问，'一种用于",2
驾校,""")
print(""驾校"")

print(""What is the English translation of '驾校'？"")
print(""Driving School"")

print(""What is the Chinese translation of 'Driving School'？"")
print(""驾校"")",2
罚款,""")
    print(""Answer: 罚款"")
    print("""")

    print(""Question: '法律'的英文单词是？"")
    print(""Answer: Law"")
    print("""")

    print(""Question: '法院'的英文单词是？"")
    print(""Answer: Court"")
    print("""")

    print(""Question: '律师'的英文单词是？"")
    print(""Answer: Lawyer"")
    print("""")

    print(""Question: '法律顾问'的英文单词是？"")
    print(""Answer: Legal Counsel"")
    print("""")

    print(""Question: '",2
反视镜,""")
print(answer)  # rearview mirror

answer = ask(""什么是交通事故的主要原因？"")
print(answer)  # 人为错误

answer = ask(""在高速公路上，遇到恶劣天气，能见度很低，应该怎么办？"")
print(answer)  # 减速慢行或停车

answer = ask(""在道路上，遇到学校或医院等区域，应该怎么办？"")
print(answer)  # 减速慢行

answer = ask(""驾驶员在驾驶过程中，需要经常检查什么？"")
print(answer",1
示廓灯,""",
    ""answer"": ""照明""
}
```

Here is a JSON object with a question and its corresponding answer:

* `question`: ""What is the term that refers to the lighting equipment used to identify the outline and size of a vehicle?""
* `answer`: ""照明"" (which means ""lighting"" or ""illumination"" in Chinese)

Note that the answer is a single word in Chinese characters.",1
转向灯,""")
print(answer)  # 转向灯

answer = model(""请用一个词回答：'车'的同义词是什么？"")
print(answer)  # 车辆

answer = model(""请用一个词回答：'交通安全'的同义词是什么？"")
print(answer)  # 安全行驶

answer = model(""请用一个词回答：'交通'的同义词是什么？"")
print(answer)  # 运输

answer = model(""请用一个词回答：'道路'的同义词是什么？"")
print(answer)  # 街道",1
挂挡,""")
    print(""Answer: 变速"")
    
    print(""Question: 在驾驶汽车时，需要时刻注意的两个方面是道路情况和_______。"")
    print(""Answer: 车速"")
    
    print(""Question: 在驾驶汽车时，遇到紧急情况需要_______。"")
    print(""Answer: 及时制动"")
    
    print(""Question: 在驾驶汽车时，需要保持_______的距离，以避免追尾事故。"")
    print(""Answer: 安全"")
    
    print(""Question: 在驾驶汽车时，遇到雾",1
自动挡,""")
    print(answer)  # 自动变速器

    question = ""请问，'一种汽车变速器，它可以自动改变汽车的齿轮比例，无需驾驶员手动切换'的英文缩写是什么？""
    answer = model.answer(question)
    print(answer)  # AT

    question = ""请问，'一种汽车变速器，它可以自动改变汽车的齿轮比例，无需驾驶员手动切换'的英文全称是什么？""
    answer = model.answer(question)
    print(answer)  # Automatic Transmission

    question = """,2
手动挡,""")
print(""Answer: Manual"")
print("""")

print(""What is the English word for '一种汽车传动系统，驾驶员不需要手动切换汽车的档位'？"")
print(""Answer: Automatic"")
print("""")

print(""What is the English word for '汽车的档位'？"")
print(""Answer: Gear"")
print("""")

print(""What is the English word for '汽车的档位数'？"")
print(""Answer: Speed"")
print("""")

print(""What is the English word for '自动变速器'？"")
print(""Answer: Automatic Transmission"")
print("""")

print",2
旅游局,""")
    print(""Answer: DMO"")
    print("""")

    print(""Question: What is the main difference between a tourist and a traveler?"")
    print(""Answer: A tourist is someone who travels for leisure and recreation, often staying in one place for a short period of time, whereas a traveler is someone who travels for a longer period of time, often exploring new places and experiencing different cultures."")
    print("""")

    print(""Question: What does the term 'ecotourism' refer to?"")
    print(""Answer: Ecotourism refers to a type of tourism that is environmentally responsible and sustainable, and that supports",1
旅游胜地,""", 
    ""answer"": ""景点"" 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
  ] 
  } 
",2
步行街,""")
    print(""Answer: 步行区"")
    print()

    print(""Question: '我国的首都是_____'?"")
    print(""Answer: 北京"")
    print()

    print(""Question: '______是中国的国花'？"")
    print(""Answer:牡丹"")
    print()

    print(""Question: '______是中国的国鸟'？"")
    print(""Answer: 鸦鹊"")
    print()

    print(""Question: '______是中国的国树'？"")
    print(""Answer: 树桐"")
    print()

    print(""Question",1
拼车,""")
    print(""Answer: Carpooling"")
    print("""")

    print(""Question: What is the word for 'a person who helps people to buy or sell houses'?"")
    print(""Answer: Real estate agent"")
    print("""")

    print(""Question: What is the word for 'a person who travels from place to place, especially for work or business'?"")
    print(""Answer: Commuter"")
    print("""")

    print(""Question: What is the word for 'a place where people can leave their cars in a safe place while they are away'?"")
    print(""Answer: Parking lot"")
    print",1
大堂经理,""",
        ""answer"": ""经理"",
        ""options"": [""经理"", ""客服"", ""服务员"", ""主管""]
    },
    {
        ""question"": ""在酒店或其他服务行业中，负责监督和协调前台接待、客户服务和日常运营活动的管理人员称为什么？"",
        ""answer"": ""经理"",
        ""options"": [""经理"", ""客服"", ""服务员"", ""主管""]
    },
    {
        ""question"": ""在酒店或其他服务行业中，负责监督和协调前台接待、客户服务和日常",1
商住楼,""")
print(""Answer: 混合楼"")  # Answer: 混合楼

print(""What is the term for 'a building that combines commercial and residential uses, typically with shops on the first floor and residences above'?"")
print(""Answer: mixed-use building"")  # Answer: mixed-use building

print(""What is the term for 'a building that combines commercial and residential uses, typically with shops on the first floor and residences above' in Chinese?"")
print(""Answer: 混合楼"")  # Answer: 混合楼
```

Output:

```
What is the term for 'a building that",1
猫眼/门镜,""")
print(""望远镜"")
print(""正确答案：望远镜"")

print(""请回答：'一根绳子上系着的多个同心圆环状物体'是指什么，请用一个词回答？"")
print(""风铃"")
print(""正确答案：风铃"")

print(""请回答：'用以表达或传递信息的符号、音响、图像等'是指什么，请用一个词回答？"")
print(""信号"")
print(""正确答案：信号"")

print(""请回答：'指人或物体在一定时间",1
液化气罐,""")
    print(""Answer: 罐"")  # 罐

    print(""Question: 'The Great Wall'是中国的什么？"")
    print(""Answer: 长城"")  # 长城

    print(""Question: 'The Forbidden City'是中国的什么？"")
    print(""Answer: 故宫"")  # 故宫

    print(""Question: 'The Temple of Heaven'是中国的什么？"")
    print(""Answer: 天坛"")  # 天坛

    print(""Question: 'The Summer Palace'是中国的什么？"")
    print(""Answer: 颐和园"")",1
煤气灶,""")
print(""Answer:灶"")  # Answer:灶

print(""问题："")
print(""Answer:炉"")  # Answer:炉

print(""问题："")
print(""Answer:炉灶"")  # Answer:炉灶

print(""问题：定义为'一种使用煤气作为燃料的烹饪设备'的是什么，请用",1
燃气管,""",
    ""answer"": ""燃气管道""
  },
  {
    ""question"": ""什么是指在一定的时间内完成一定的工作量或任务的能力？"",
    ""answer"": ""生产力""
  },
  {
    ""question"": ""什么是指在一定的时间内完成一定的工作量或任务的能力？"",
    ""answer"": ""生产能力""
  },
  {
    ""question"": ""什么是指在一定的时间内完成一定的工作量或任务的能力？"",
    ""answer"": ""生产效率""
  },
  {
    ""question"":",1
燃气表,""")
print(""Answer: 表"")  # 表

print(""问题：'气'在'计算燃气使用数量的仪表'中是什么意思？"")
print(""Answer: 气体"")  # 气体

print(""问题：'计算燃气使用数量的仪表'是用来测量什么的？"")
print(""Answer: 燃气"")  # 燃气

print(""问题：'计算燃气使用数量的仪表'的简称是什么？"")
print(""Answer: 燃气表"")  # 燃气表

print(""问题",2
排风扇,""")
    print(""Answer: 风机"")
    
    print(""问题：将空气从一个房间或建筑物中排出到外部的设备是？"")
    print(""Answer: 排风扇"")
    
    print(""问题：用于将空气从一个房间或建筑物中排出到外部的设备是？"")
    print(""Answer: 排风设备"")
    
    print(""问题：将空气从一个房间或建筑物中排出到外部的设备是什么？"")
    print(""Answer: 排风机"")
    
    print(""问题：用于",1
残品,""")
print(""Answer:瑕疵"")
print("""")

print(""Question: What is the main function of the quality control department?"")
print(""Answer:检测和改进产品的质量"")
print("""")

print(""Question: What is the purpose of the quality control department?"")
print(""Answer:确保产品达到客户的需求和期望"")
print("""")

print(""Question: What is the role of the quality control department in a company?"")
print(""Answer:确保产品的质量达到标准"")
print("""")

print(""Question: What is the goal of quality control?"")
print(""Answer:提高产品的质量和",1
虚假广告,""")
print(""答案：虚假。"")  # Answer: Falsehood.

# 7
print(""问题：在《中华人民共和国消费者权益保护法》中，消费者享有的权利包括哪些？"")
print(""答案：知道权、选择权、公平交易权、获得赔偿权、监督权。"")  # Answer: Right to know, Right to choose, Right to fair trade, Right to compensation, Right to supervision.

# 8
print(""问题：根据《中华人民共和国消费者权益保护法》，生产者、销售者对消费者的侵权",1
断码货,""")

print(answer)
# Output: 缺货

```

The output is ""缺货"", which is the correct answer.",2
一口价,""");
    answer: 固定
    ```

    The answer is indeed ""固定"" (fixed).",2
保质期,""")
    print(""Answer: Shelf-life."")

    print(""Question 4: What is the term for the process of killing or removing all microorganisms from a surface or object?"")
    print(""Answer: Sterilization."")

    print(""Question 5: What is the term for a substance that is capable of preventing the growth of microorganisms?"")
    print(""Answer: Antimicrobial."")

    print(""Question 6: What is the term for a substance that is capable of killing microorganisms?"")
    print(""Answer: Antiseptic."")

    print(""Question 7: What is the term for a substance that is capable of",1
保修,""")
    print(""Answer: 保修"")
    
    print(""Question: 'The company provides a _______ of one year for all its products.'"")
    print(""Answer: warranty"")
    
    print(""Question: 'The _______ of the product is 5 years.'"")
    print(""Answer: warranty period"")
    
    print(""Question: 'The company offers a _______ for its products, which means that customers can return them within 30 days if they are not satisfied.'"")
    print(""Answer: money-back guarantee"")
    
    print(""Question: 'The seller provides a _______ for the product, which ensures",1
网上购物,""")
print(""Answer: 电商"")
print("""")

print(""What is the term for 'a type of business that is conducted over the internet using technology such as websites and mobile apps'?"")
print(""Answer: E-commerce"")
print("""")

print(""电子商务的英文缩写是什么？"")
print(""Answer: E-commerce"")
print("""")

print(""What is the term for 'the process of buying or selling products or services over the internet'?"")
print(""Answer: Online shopping"")
print("""")

print(""在线购物的中文名称是什么？"")
print(""Answer: 网上购物"")
print("""")

print(""",2
裙裤,""")
    print(""Answer: Skirt-pants"")
    print("""")

    print(""Question: What is the name of the famous painting by Leonardo da Vinci that depicts a woman with a mysterious smile?"")
    print(""Answer: Mona Lisa"")
    print("""")

    print(""Question: What is the chemical symbol for gold?"")
    print(""Answer: Au"")
    print("""")

    print(""Question: Which planet in our solar system is known for being the largest?"")
    print(""Answer: Jupiter"")
    print("""")

    print(""Question: Who is the main character in the novel 'To Kill a Mockingbird' by",1
蝙蝠衫,""")
print(""Answer: 风衣"")  # Answer: 风衣

print(""What is the term for a type of clothing that is designed to be loose-fitting, with sleeves and body parts connected together, shaped like bat wings?"")
print(""Answer: Duster"")  # Answer: Duster (Note: This is not a direct translation, but a similar type of clothing)

print(""请用一个词回答：一种设计宽松、袖子和身体部分连在一起、形状像蝙蝠翅膀的上衣。"")
print(""Answer: 风衣"")  #",1
秋裤,""",
    ""answer"": ""长 Johns"",
    ""options"": [""长 Johns"", ""短裤"", ""短袜"", ""长袜""]
  },
  {
    ""question"": ""What does 'get cold feet' mean?"",
    ""answer"": ""改变主意"",
    ""options"": [""感到寒冷"", ""改变主意"", ""感受到恐惧"", ""变得非常兴奋""]
  },
  {
    ""question"": ""What does 'break a leg' mean?"",
    ""answer"": ""祝你好运"",
    ""options"": [""祝你好运"", ""祝你",1
秋衣,""")
    print(""Answer: thermal"")
    print("""")

    print(""Question: What is the meaning of the phrase 'be in the same boat'?"")
    print(""Answer: to be in the same difficult or unpleasant situation as someone else"")
    print("""")

    print(""Question: What is the opposite of 'fast' in terms of speed?"")
    print(""Answer: slow"")
    print("""")

    print(""Question: What is the meaning of the idiom 'break a leg'?"")
    print(""Answer: good luck"")
    print("""")

    print(""Question: What is the meaning of the word's",1
西兰花,""")
print(""Answer: 芹菜"")  # 芹菜

print(""问题：被誉为'食物之王'的食材是什么？"")
print(""Answer: 牛奶"")  # 牛奶

print(""问题：什么水果的皮可以食用？"")
print(""Answer: 苹果"")  # 苹果

print(""问题：被称为'液体黄金'的食材是什么？"")
print(""Answer: 橄榄油"")  # 橄榄油

print(""问题：什么蔬菜的根部可以食用？"")
print",1
淀粉/团粉/生粉,""")
print(""Answer: 淀粉"")  # Answer: 淀粉

print(""问题：什么是指在生物体内由细胞或细胞器所制造并储存的物质？"")
print(""Answer: 代谢产物"")  # Answer: 代谢产物

print(""问题：在生物体内，什么是指细胞或细胞器制造并储存的物质？"")
print(""Answer: 代谢产物"")  # Answer: 代谢产物

print(""问题：什么是指生物体内细胞或细胞器制造并储存的物质？"")
print",1
菠萝,""",
  ""answer"": ""芒果"",
  ""options"": [
    ""香蕉"",
    ""芒果"",
    ""木瓜"",
    ""龙眼""
  ]
}
```

```json
{
  ""question"": ""下面哪个国家是亚洲最小的国家？"",
  ""answer"": ""文莱"",
  ""options"": [
    ""文莱"",
    ""马尔代夫"",
    ""新加坡"",
    ""巴林""
  ]
}
```



```json
{
  ""question"": ""以下哪个城市是中国最南端的城市？"",
  ""answer",1
番石榴,""")
print(""Answer: 荔枝"")
print("""")

print(""What is the fruit that is defined as '一种热带水果，其果实内含有大量的小颗粒，每个颗粒都包裹在透明的果肉中'？"")
print(""Answer: Lychee"")
print("""")```

Output:

```
What is the fruit that is defined as '一种热带水果，其果实内含有大量的小颗粒，每个颗粒都包裹在透明的果肉中'？
Answer: 荔枝

What is the fruit that",1
橙子,""")
print(answer(""naranja""))  # Should print ""橙""",2
羊蝎子,""")
print(""Answer: 排骨"")
print("""")

print(""Question: '他是一名非常有才华的艺术家，作品曾经在国际上展出'，'他'在这里是指什么，请用一个词回答？"")
print(""Answer: 艺术家"")
print("""")

print(""Question: '这个城市的气候非常温暖，每年有很多游客来这里度假'，'这个城市'在这里是指什么，请用一个词回答？"")
print(""Answer: 温暖城市"")
print("""")

print(""Question: '她是一名非常有",1
三文鱼,""",
    ""answer"": ""鲑"" },
  { ""question"": ""以下哪种鱼类是中国的国鱼？"",
    ""answer"": ""鲟"" },
  { ""question"": ""以下哪种鱼类是中国的国鱼？"",
    ""answer"": ""鲟"" },
  { ""question"": ""中国的国鱼是？"",
    ""answer"": ""鲟"" },
  { ""question"": ""中国国鱼是？"",
    ""answer"": ""鲟"" },
  { ""question"": ""中国的国鱼是哪种鱼？"",
    ""answer"": """,1
