conceptId,Mainland China,Taiwan,definition_simplified,definition_traditional,category,definition_source
72,煤气灶,瓦斯爐,一种使用煤气作为燃料的烹饪设备,一種使用煤氣作為燃料的烹飪設備,residence,dictionary
73,燃气管,夭然瓦斯管道,用于输送燃气（如天然气，液化石油气等）的管道,用於輸送燃氣（如天然氣，液化石油氣等）的管道,residence,gpt
74,燃气表,瓦斯表,计算燃气使用数量的仪表,計算燃氣使用數量的儀表,residence,vocabulary
75,建筑垃圾,建築廢棄物,建造或装修房屋所产生的垃圾,建造或裝修房屋所産生的垃圾,residence,vocabulary
76,排风扇,抽風機,一种用于将室内的空气排出到室外，以改善室内空气质量的设备,一種用於將室內的空氣排出到室外，以改善室內空氣質量的設備,residence,dictionary
77,残品,瑕疵品,有残损的产品,有殘損的産品,consumption,dictionary
78,虚假广告,不實廣告,指广告中的信息或者承诺与实际商品或服务的性能，效果等存在误导消费者的不真实情况,指廣告中的信息或者承諾與實際商品或服務的性能，效果等存在誤導消費者的不真實情況,consumption,gpt
79,断码货,零碼,指某一款商品的某一或几个尺码或颜色等规格已经售罄，无法提供完整规格选择的商品,指某一款商品的某一或幾個尺碼或顏色等規格已經售罄，無法提供完整規格選擇的商品,consumption,gpt
80,中间商,中盤商/中盤,在生产商和消费者之间进行商品或服务买卖的个人或公司，他们购买大量商品并将其分销给零售商或直接给消费者,在生産商和消費者之間進行商品或服務買賣的個人或公司，他們購買大量商品並將其分銷給零售商或直接給消費者,consumption,dictionary
81,一口价,不二價,说出或标出的商品价格不变，不讨价还价,説出或標出的商品價格不變，不討價還價,consumption,vocabulary
82,保质期,保存期限,指在规定的储存条件下，产品能保持其应有品质的时间期限,指在規定的儲存條件下，産品能保持其應有品質的時間期限,consumption,dictionary
83,保修,保固,指厂商或销售商对其出售的产品在一定期限内出现质量问题，承诺免费维修或更换的服务承诺,指廠商或銷售商對其出售的産品在一定期限內出現質量問題，承諾免費維修或更換的服務承諾,consumption,dictionary
84,网上购物,網路購物,通过互联网使用电子支付方式购买商品或服务的活动,通過互聯網使用電子支付方式購買商品或服務的活動,consumption,gpt
85,自动售货机,自動販賣機,一种无需人工操作，通过投币，刷卡等方式自动出售商品的机器,一種無需人工操作，通過投幣，刷卡等方式自動出售商品的機器,consumption,wiki
86,连衣裙,連身裙,一种女性服装，从肩部或颈部一直延伸到腿部的一件式裙子,一種女性服裝，從肩部或頸部一直延伸到腿部的一件式裙子,consumption,dictionary
87,裙裤,褲裙,一种结合了裙子和裤子两种设计的服装，看起来像裙子，但实际上有裤腿,一種結合了裙子和褲子兩種設計的服裝，看起來像裙子，但實際上有褲腿,consumption,dictionary
88,蝙蝠衫,蝴蝶䄂,一种设计宽松，袖子和身体部分连在一起，形状像蝙蝠翅膀的上衣,一種設計寬鬆，袖子和身體部分連在一起，形狀像蝙蝠翅膀的上衣,consumption,gpt
89,秋裤,衛生褲,一种在秋冬季节穿着的，用以保暖的内裤,一種在秋冬季節穿着的，用以保暖的內褲,consumption,wiki
90,秋衣,衛生衣,在秋季穿的，用于保暖的内衣,在秋季穿的，用於保暖的內衣,consumption,dictionary
91,紧身短裤,熱褲,一种紧贴身体，长度通常在大腿中部或以上的短裤,一種緊貼身體，長度通常在大腿中部或以上的短褲,consumption,gpt
92,坡跟鞋,楔型鞋,鞋底前低后高，呈坡状,鞋底前低後高，呈坡狀,consumption,vocabulary
93,西兰花,綠花椰菜,一种常见的蔬菜，其绿色的花朵和茎部都可以食用，富含多种营养素,一種常見的蔬菜，其綠色的花朵和莖部都可以食用，富含多種營養素,consumption,wiki
94,淀粉/团粉/生粉,太白粉,一种由植物细胞制造并储存的多糖，主要用作能量储存物质,一種由植物細胞製造並儲存的多糖，主要用作能量儲存物質,consumption,dictionary
95,菠萝,鳳梨,一种原产勒南美洲巴西、巴拉圭个亚马逊河流域一带个热带水果，乃朝已勒热带地区广泛种植,一種原産勒南美洲巴西、巴拉圭個亞馬遜河流域一帶個熱帶水果，乃朝已勒熱帶地區廣泛種植,consumption,wiki
96,番石榴,芭樂,一种热带水果，其果实内含有大量的小颗粒，每个颗粒都包裹在透明的果肉中,一種熱帶水果，其果實內含有大量的小顆粒，每個顆粒都包裹在透明的果肉中,consumption,wiki
97,橙子,柳橙,一种常见的柑橘类水果，呈圆形，外皮为橙色,一種常見的柑橘類水果，呈圓形，外皮爲橙色,consumption,dictionary
98,羊蝎子,羊大骨,指羊的脊椎骨和附着在上面的肉，是一种常见的烹饪食材，尤其在烧烤和火锅中很受欢迎,指羊的脊椎骨和附着在上麵的肉，是一種常見的烹飪食材，尤其在燒烤和火鍋中很受歡迎,consumption,dictionary
99,三文鱼,鮭魚,对渔业有很高商业价值的数种鲑形目鲑科鲑亚科的广盐性条鳍鱼的通称,對漁業有很高商業價值的數種鮭形目鮭科鮭亞科的廣鹽性條鰭魚的通稱,consumption,wiki
100,金枪鱼,鮪魚,一种海水鱼类，属于鲭科下面的金枪鱼族,一種海水魚類，屬於鯖科下面的金槍魚族,consumption,wiki
101,牡蛎,蚵仔,一种生活在海洋或淡水中的贝壳类动物，以其肉质鲜美和能够产生珍珠而闻名,一種生活在海洋或淡水中的貝殼類動物，以其肉質鮮美和能夠産生珍珠而聞名,consumption,dictionary
102,数字电视,數位電視,一种使用数字信号进行广播的电视技术，提供了比传统模拟电视更高的画质和声音质量,一種使用數字信號進行廣播的電視技術，提供了比傳統模擬電視更高的畫質和聲音質量,consumption,wiki
103,录像机,錄影機,用来将电视影像和声音记录下来，并加以重新播放出的机器,用來將電視影像和聲音記錄下來，並加以重新播放出的機器,consumption,wiki
104,数码相机,數位相機,一种利用电子感测器把光学影像转换成电子数据的照相机,一種利用電子感測器把光學影像轉換成電子數據的照相機,consumption,wiki
105,卫生巾,衛生棉,妇女经期使用的卫生用品,婦女經期使用的衛生用品,consumption,vocabulary
106,避孕套/安全套,衛生套/保險套,一种护套形的屏障器具，主要应用于性交过程中，用以减低感染性传播疾病和女性怀孕的风险,一種護套形的屏障器具，主要應用於性交過程中，用以減低感染性傳播疾病和女性懷孕的風險,consumption,wiki
107,圆珠笔,原子筆,现代的一种书写工具，利用笔杆末端的一颗走珠来分配墨水，使书写者不用像在使用钢笔一样时常抽墨水补充,現代的一種書寫工具，利用筆桿末端的一顆走珠來分配墨水，使書寫者不用像在使用鋼筆一樣時常抽墨水補充,consumption,wiki
108,创可贴,OK繃,一种小型简易的医护用品，常使用在一些较小的伤口上，具有止血作用,一種小型簡易的醫護用品，常使用在一些較小的傷口上，具有止血作用,consumption,wiki
109,桑拿浴/桑拿,三温暖,指在封闭房间内用蒸气或乾热对人体理疗的过程，使人大量出汗,指在封閉房間內用蒸氣或乾熱對人體理療的過程，使人大量出汗,consumption,wiki
